,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
2779,2779,2-комнатная квартира · 75 м² · 16/17 этаж,51500000,"Ауэзовский р-н, мкр Мамыр-1 29/1 — ТРЦ СПУТНИК",2,75.0,16
2780,2780,2-комнатная квартира · 55 м² · 8/9 этаж,32000000,"Турксибский р-н, Сарыарка 1/1 — Шемякина-Восточнообьездная",2,55.0,8
2781,2781,1-комнатная квартира · 54 м² · 4/9 этаж,35000000,"Ауэзовский р-н, мкр Аксай-1А 27 — Толеби яссуи",1,54.0,4
2782,2782,2-комнатная квартира · 72.6 м² · 11/16 этаж,44000000,"Медеуский р-н, Назарбаева 34/1",2,72.6,11
2783,2783,1-комнатная квартира · 28.6 м² · 9/10 этаж,20000000,"Наурызбайский р-н, мкр Калкаман-2 8/3",1,28.6,9
2784,2784,1-комнатная квартира · 43 м² · 1/10 этаж,23500000,"Наурызбайский р-н, мкр Шугыла, Жунисова 12/2 — Алма сити-3",1,43.0,1
2785,2785,1-комнатная квартира · 42 м² · 2/13 этаж,26500000,"Ауэзовский р-н, мкр Сайран — Утеген батыра",1,42.0,2
2786,2786,1-комнатная квартира · 35.5 м² · 2/9 этаж,27000000,"Алатауский р-н, Текелийская 1б — Райымбека Розыбакиева",1,35.5,2
2787,2787,1-комнатная квартира · 35 м² · 1/9 этаж,22500000,"Наурызбайский р-н, мкр Шугыла, Райымбека — Жуалы",1,35.0,1
2788,2788,2-комнатная квартира · 52.2 м² · 9/10 этаж,32499000,"Алатауский р-н, мкр Аккент 70",2,52.2,9
2789,2789,2-комнатная квартира · 63 м² · 1/3 этаж,63000000,"Наурызбайский р-н, мкр Курамыс 110/1",2,63.0,1
2790,2790,2-комнатная квартира · 52 м² · 2/10 этаж,45300000,"Ауэзовский р-н, Навои 58/1",2,52.0,2
2791,2791,2-комнатная квартира · 51 м² · 9/18 этаж,51500000,"Бостандыкский р-н, Розыбакиева 237",2,51.0,9
2792,2792,3-комнатная квартира · 150 м² · 4/22 этаж,110000000,"Медеуский р-н, мкр Самал-2, Достык 162 — ТРЦ Достык",3,150.0,4
2793,2793,2-комнатная квартира · 41 м² · 2/4 этаж,28000000,"Бостандыкский р-н, Бухар Жырау — Жарокова",2,41.0,2
2794,2794,2-комнатная квартира · 58 м² · 3/5 этаж,65000000,"Медеуский р-н, мкр Самал-2",2,58.0,3
2795,2795,3-комнатная квартира · 102 м² · 2/18 этаж,114500000,"Бостандыкский р-н, Гагарина",3,102.0,2
2796,2796,1-комнатная квартира · 31 м² · 2/4 этаж,21000000,"Ауэзовский р-н, мкр №3 63 — Саина-Улугбека",1,31.0,2
2797,2797,3-комнатная квартира · 73 м² · 2/5 этаж,62000000,"Алмалинский р-н, Нурмакова 81 — Торг возможен",3,73.0,2
2798,2798,2-комнатная квартира · 56.4 м² · 4/17 этаж,53000000,"Бостандыкский р-н, Абая 164 — Брусиловского",2,56.4,4
2799,2799,2-комнатная квартира · 46 м² · 10/12 этаж,33950000,"Ауэзовский р-н, Тастак-1 м-н 348/1",2,46.0,10
2800,2800,3-комнатная квартира · 63 м² · 2/4 этаж,39000000,"Ауэзовский р-н, мкр Таугуль, Щепкина 71а",3,63.0,2
2801,2801,4-комнатная квартира · 97.6 м² · 4/5 этаж,55000000,"Турксибский р-н, Палладина 2",4,97.6,4
2802,2802,4-комнатная квартира · 98.8 м² · 4/5 этаж,77000000,"Бостандыкский р-н, Сатпаева 20а — Сейфуллина",4,98.8,4
2803,2803,2-комнатная квартира · 110 м² · 3/22 этаж,85000000,"Бостандыкский р-н, мкр Коктем-1, Бухар жырау 27/5 — Бухар жырау весновка",2,110.0,3
2804,2804,3-комнатная квартира · 115 м² · 4/5 этаж,92000000,"Бостандыкский р-н, Аль Фараби — Аль Фараби Ходжанова",3,115.0,4
2805,2805,3-комнатная квартира · 80 м² · 9/20 этаж,75500000,"Бостандыкский р-н, Гагарина 310 — Альфараби Гагарина , блок 8, бизнес",3,80.0,9
2806,2806,2-комнатная квартира · 46 м² · 4/4 этаж,29000000,"Бостандыкский р-н, Радостовца 185 — Жандосова можно в ипотеку",2,46.0,4
2807,2807,2-комнатная квартира · 85 м² · 18/21 этаж,76999999,"Бостандыкский р-н, Аль-Фараби 95 — Ходжанова",2,85.0,18
2808,2808,3-комнатная квартира · 116 м² · 15/21 этаж,107000000,"Бостандыкский р-н, Аль-Фараби 27 — Сейфуллина",3,116.0,15
2809,2809,3-комнатная квартира · 74.3 м² · 19/20 этаж,43000000,"Бостандыкский р-н, Абая 160 — Тургут Озала",3,74.3,19
2810,2810,1-комнатная квартира · 14 м² · 3/5 этаж,9900000,"Медеуский р-н, Есенова — Жургенева",1,14.0,3
2811,2811,3-комнатная квартира · 55.4 м² · 1/4 этаж,42000000,"Алмалинский р-н, Маметовой 72/1 — Наурызбай Батыра",3,55.4,1
2812,2812,3-комнатная квартира · 100 м²,160000000,"Медеуский р-н, Аль- Фараби 116",3,100.0,0
2813,2813,4-комнатная квартира · 90 м² · 6/9 этаж,60500000,"Ауэзовский р-н, мкр Аксай-5 5 — Жубанова Момышулы",4,90.0,6
2814,2814,1-комнатная квартира · 44.8 м² · 2/3 этаж,32500000,"Наурызбайский р-н, мкр Курамыс, Сейдимбек 100",1,44.8,2
2815,2815,2-комнатная квартира · 58.2 м² · 5/12 этаж,55000000,"Бостандыкский р-н, Сатпаева 90 — Туркебаева",2,58.2,5
2816,2816,3-комнатная квартира · 90 м² · 6/9 этаж,59500000,"Алатауский р-н, мкр Аккент",3,90.0,6
2817,2817,3-комнатная квартира · 52 м² · 2/2 этаж,25300000,"Турксибский р-н, Глазунова 43а",3,52.0,2
2818,2818,2-комнатная квартира · 63.5 м² · 1/9 этаж,35500000,"Наурызбайский р-н, мкр Шугыла 341/5 — Магазин Ауыл Дәмі",2,63.5,1
2819,2819,1-комнатная квартира · 40.1 м² · 9/9 этаж,22000000,"Турксибский р-н, Сарыарка",1,40.1,9
2820,2820,3-комнатная квартира · 110 м² · 4/20 этаж,137000000,"Бостандыкский р-н, Сейфуллина 574/2 — Альфараби- Сейфуллина",3,110.0,4
2821,2821,1-комнатная квартира · 45.36 м² · 6/12 этаж,35290000,"Алмалинский р-н, Сейфуллина 467г — $ГОРЯЧАЯ ЦЕНА$ Рядом MEGA PARK",1,45.36,6
2822,2822,2-комнатная квартира · 40 м² · 3/4 этаж,29500000,"Бостандыкский р-н, Сатпаева 29а — Байзакова",2,40.0,3
2823,2823,2-комнатная квартира · 40 м² · 3/4 этаж,29500000,"Бостандыкский р-н, Сатпаева 29а — Байзакова",2,40.0,3
